Log akses dibuat untuk username : admin_surat (pada 20-05-2014 09:45:15). IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7
[07-07-2014 06:31:52] : LOG OUT Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
[03-10-2014 11:53:45] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
[03-10-2014 11:59:28] : LOG OUT Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
[03-10-2014 12:04:55] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
[03-10-2014 12:05:21] : LOG OUT Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
[03-10-2014 12:14:33] : LOG IN Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
[03-10-2014 12:19:10] : LOG OUT Sukses. IP : ::1, browser : Safari/Chrome versi : 537.36, OS : ???.
[04-10-2014 04:50:36] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[04-10-2014 04:50:43] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[06-10-2014 01:20:27] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[06-10-2014 01:31:36] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[06-10-2014 01:33:18] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[06-10-2014 01:33:55] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[06-10-2014 01:38:06] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[06-10-2014 02:13:23] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[06-10-2014 02:22:38] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[06-10-2014 02:22:52] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[06-10-2014 02:34:30] : LOG IN Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
[06-10-2014 02:36:06] : LOG OUT Sukses. IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : linux.
