Log akses dibuat untuk username : admin (pada 20-05-2014 02:14:03). IP : 127.0.0.1, browser : Safari/Chrome versi : 537.36, OS : Windows 7
[26-05-2014 01:14:50] : LOG IN Sukses. IP : 202.67.42.29, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[26-05-2014 01:58:39] : LOG OUT Sukses. IP : 202.67.42.29, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[26-05-2014 08:50:26] : LOG IN Sukses. IP : 202.67.43.21, browser : Mozilla Firefox versi : 30.0, OS : Windows 7.
[26-05-2014 12:51:12] : LOG IN Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[26-05-2014 01:35:18] : LOG IN Sukses. IP : 110.76.149.147, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[26-05-2014 01:36:55] : LOG OUT Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[26-05-2014 01:37:26] : LOG IN Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[26-05-2014 01:37:39] : UBAH PASSWORD Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[26-05-2014 01:37:44] : LOG OUT Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[26-05-2014 01:37:54] : LOG IN Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[26-05-2014 01:43:42] : LOG OUT Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[26-05-2014 01:47:04] : LOG OUT Sukses. IP : 110.76.149.147, browser : Safari/Chrome versi : 537.36, OS : Windows 7.
[26-05-2014 01:48:05] : LOG IN Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[26-05-2014 01:48:54] : LOG OUT Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[26-05-2014 01:56:18] : LOG IN Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[26-05-2014 01:56:48] : LOG OUT Sukses. IP : 125.165.169.230, browser : Safari/Chrome versi : 537.36, OS : ???.
[26-05-2014 02:37:11] : LOG IN Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 29.0, OS : ???.
[26-05-2014 02:38:38] : LOG OUT Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 29.0, OS : ???.
[26-05-2014 04:58:27] : LOG IN Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 29.0, OS : ???.
[26-05-2014 05:01:14] : LOG OUT Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 29.0, OS : ???.
[26-05-2014 07:17:51] : LOG IN Sukses. IP : 125.165.169.230, browser : Mozilla Firefox versi : 29.0, OS : ???.
[26-05-2014 07:19:08] : LOG IN Sukses. IP : 36.88.3.98, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
[26-05-2014 07:25:17] : LOG OUT Sukses. IP : 36.88.3.98, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
[26-05-2014 07:28:01] : LOG IN Sukses. IP : 36.88.3.98, browser : Mozilla Firefox versi : 29.0, OS : Windows 7.
